Suburb,Investor Score,12M Growth (%),10Y Growth (%),Growth Gap,Growth Gap,Rent Affordability,Buy Affordability,Yield,Yield
Abbotsbury,81,14.678899082568808,100,0.22662167946725356,90,85,82,2.8516129032258064,45
Abbotsford (NSW),69,5.769230769230769,100,0.1784235847030253,68,75,86,3.2447999999999997,55
Abbotsford (NSW),60,9.074074074074074,100,0.1784235847030253,90,10,10,1.863855421686747,19
Abercrombie,81,3.937007874015748,100,0.20903402520610842,90,100,100,4.005925925925926,74
Aberdare,74,3.3707865168539324,100,0.2883666386675438,68,72,100,4.816842105263158,95
Aberdare,70,4.838709677419355,100,0.2883666386675438,90,43,94,4.42,85
Aberdeen (NSW),72,10.526315789473683,75,0.3930976302041492,90,65,100,5.2,100
Aberdeen (NSW),63,-1.2121212121212122,75,0.3930976302041492,68,100,100,7.548387096774194,100
Aberglasslyn,73,-1.9230769230769231,100,0.2412919137890668,68,100,100,4.6,90
Aberglasslyn,61,4.895104895104895,100,0.2412919137890668,90,78,100,4.207894736842106,80
Abermain,81,3.3707865168539324,100,0.2883666386675438,68,100,100,4.963636363636364,99
Abermain,73,4.838709677419355,100,0.2883666386675438,90,68,100,4.292063492063492,82
Abernethy,65,4.838709677419355,100,0.2883666386675438,90,100,100,3.364705882352941,58
Acacia Gardens,68,7.682206172028891,100,0.25208407424322077,68,100,100,3.83010752688172,70
Acacia Gardens,66,5.762217359591539,100,0.25208407424322077,90,89,95,2.943396226415094,47
Adaminaby,71,-6.086956521739131,100,0.22771762571377427,90,10,91,5.3061224489795915,100
Adamstown,74,6.153846153846154,100,0.15145028935713895,68,100,100,4.3999999999999995,85
Adamstown,60,6.358381502890173,100,0.15145028935713895,90,34,83,3.220183486238532,54
Adamstown Heights,79,6.153846153846154,100,0.15145028935713895,68,100,100,4.63125,91
Adamstown Heights,65,6.358381502890173,100,0.15145028935713895,90,56,92,3.3191489361702122,57
Adelong,92,5.617977528089887,100,0.3202789724581078,90,94,100,5.057534246575343,100
Agnes Banks,75,6.358381502890173,100,0.06018638813540398,90,85,57,2.08,25
Airds,57,8.155688622754491,100,0.07433355315027862,90,10,61,3.9178082191780823,72
Airds,52,5.535714285714286,100,0.07433355315027862,68,10,75,3.774193548387097,68
Akolele,59,0.6172839506172839,100,0.15273739247660534,90,10,33,3.579474342928661,63
Albion Park,70,5.0359712230215825,100,0.13077183055816813,68,88,100,4.356756756756757,83
Albion Park,70,9.137055837563452,100,0.13077183055816813,90,72,98,4.111627906976744,77
Albion Park Rail,79,5.0359712230215825,100,0.13077183055816813,68,45,98,4.667716535433071,91
Albion Park Rail,68,9.137055837563452,100,0.13077183055816813,90,10,83,3.9,72
Albury,75,4.6875,100,0.29094505716169555,68,100,100,4.323725055432372,83
Albury,71,1.0294117647058822,100,0.29094505716169555,90,85,99,3.862857142857143,71
Aldavilla,82,-2.2222222222222223,100,0.2752797576927607,90,59,100,5.763855421686747,100
Alectown,77,7.6923076923076925,100,0.25396913557084333,90,100,100,6.933333333333333,100
Alexandria,78,1.6216216216216217,96,0.04403307908723426,68,98,100,4.445161290322581,86
Alexandria,65,4.391534391534392,96,0.04403307908723426,90,10,54,2.5719424460431655,38
Alfords Point,68,7.586206896551724,100,0.15156407733613272,90,10,76,3.2842105263157895,56
Alison (Dungog - NSW),68,4.838709677419355,100,0.2883666386675438,90,47,84,3.6202531645569622,65
Allambie Heights,82,8.0,100,0.10519982826016043,68,100,100,3.6218905472636815,65
Allambie Heights,60,4.99790004199916,100,0.10519982826016043,90,10,49,2.5440313111545985,37
Allawah,79,7.6923076923076925,100,0.19728096795690878,68,64,100,4.3896103896103895,84
Allawah,68,10.882352941176471,100,0.19728096795690878,90,10,27,2.2585034013605445,30
Allgomera,60,-2.2222222222222223,100,0.2752797576927607,90,10,54,3.25,55
Allworth,82,1.7391304347826086,100,0.1228357622419058,90,41,91,4.193548387096775,79
Alpine,72,-8.584070796460178,100,-0.10726914683396865,100,100,100,3.6923076923076925,66
Alstonvale,64,9.090909090909092,100,0.17659667725785103,90,63,92,3.7864077669902914,69
Alstonville,72,0.6622516556291391,100,0.17659667725785103,68,49,96,4.432786885245902,85
Alstonville,67,9.090909090909092,100,0.17659667725785103,90,10,69,3.634408602150538,65
Ambarvale,61,8.155688622754491,100,0.07433355315027862,90,10,81,3.557101449275362,63
Ambarvale,55,5.535714285714286,100,0.07433355315027862,68,90,95,3.441176470588235,60
Angledale,68,0.6172839506172839,100,0.15273739247660534,90,61,87,3.5752234514657166,63
Angourie,74,-0.8064516129032258,100,0.20051123432038115,90,45,85,3.723456790123457,67
Anna Bay,81,3.1746031746031744,100,0.11786159608791938,68,20,99,5.4,100
Anna Bay,74,2.035928143712575,100,0.11786159608791938,90,10,51,3.2815533980582527,56
Annandale (NSW),69,5.769230769230769,100,0.059653876429739516,68,100,100,2.9295774647887325,47
Annandale (NSW),54,4.245283018867925,100,0.059653876429739516,90,10,56,2.5881818181818184,38
Annangrove,76,7.526881720430108,100,0.3647658746871558,90,82,42,1.82,18
Appin (NSW),67,5.0,100,0.10791346544966449,90,100,94,2.9966101694915257,48
Arakoon,79,-2.2222222222222223,100,0.2752797576927607,90,35,86,3.989041095890411,74
Araluen (NSW),73,1.5789473684210527,87,0.22248435126283336,90,10,67,3.4666666666666663,61
Arcadia (NSW),70,7.526881720430108,100,0.3647658746871558,90,100,46,1.6182572614107886,13
Arcadia Vale,69,3.1055900621118013,100,0.13754902670373031,90,18,89,3.8048780487804876,69
Arding,79,7.368421052631578,74,0.2984867379186813,90,74,100,5.2,100
Ardlethan,82,7.6923076923076925,100,0.25396913557084333,90,10,90,4.879012345679012,97
Argenton,79,2.3622047244094486,100,0.12644782342382704,68,58,98,4.4142614601018675,85
Argenton,64,3.888888888888889,100,0.12644782342382704,90,10,76,3.8153846153846156,70
Argents Hill,63,-2.2222222222222223,100,0.2752797576927607,90,10,62,3.25,55
Ariah Park,87,4.761904761904762,100,0.3046442117563257,90,59,100,4.879012345679012,97
